RAM 5617/15825MB (lfb 247x4MB) SWAP 6/7912MB (cached 0MB) CPU [79%@2265,78%@2265,78%@2265,92%@2265,75%@2265,78%@2265,78%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 2% AO@44.5C GPU@52C Tdiode@47C PMIC@50C AUX@46C CPU@52C thermal@48.8C Tboard@43C GPU 0/0 CPU 11175/11175 SOC 3367/3367 CV 0/0 VDDRQ 1071/1071 SYS5V 3104/3104
RAM 5614/15825MB (lfb 228x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,99%@2265,86%@2265,87%@2265,87%@2265,85%@2265,87%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@43C GPU 0/0 CPU 12093/11847 SOC 3061/3145 CV 0/0 VDDRQ 612/682 SYS5V 2903/2964
RAM 5719/15825MB (lfb 208x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,99%@2265,86%@2265,85%@2265,86%@2265,87%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@52.05C Tboard@43C GPU 0/0 CPU 11787/11847 SOC 3061/3145 CV 0/0 VDDRQ 612/682 SYS5V 2903/2963
RAM 5667/15825MB (lfb 220x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,85%@2265,99%@2265,86%@2265,86%@2265,86%@2265,86%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.05C Tboard@43C GPU 0/0 CPU 12093/11848 SOC 3061/3144 CV 0/0 VDDRQ 612/682 SYS5V 2943/2963
RAM 5746/15825MB (lfb 202x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,99%@2265,86%@2265,86%@2265,86%@2265,86%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@55C thermal@52.25C Tboard@43C GPU 0/0 CPU 12547/11850 SOC 3060/3144 CV 0/0 VDDRQ 612/681 SYS5V 2903/2963
RAM 5638/15825MB (lfb 227x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,100%@2265,85%@2265,85%@2265,86%@2265,85%@2265,84%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@43C GPU 0/0 CPU 12247/11851 SOC 3060/3144 CV 0/0 VDDRQ 612/681 SYS5V 2903/2963
RAM 5691/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,86%@2265,99%@2265,86%@2265,87%@2265,86%@2265,87%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@55C thermal@52.25C Tboard@43C GPU 0/0 CPU 12247/11852 SOC 3060/3144 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5714/15825MB (lfb 210x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,99%@2265,85%@2265,85%@2265,85%@2265,85%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.05C Tboard@43C GPU 0/0 CPU 12247/11853 SOC 3061/3143 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5746/15825MB (lfb 203x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,99%@2265,84%@2265,85%@2265,85%@2265,86%@2265,84%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.05C Tboard@43C GPU 0/0 CPU 12247/11854 SOC 3061/3143 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5775/15825MB (lfb 196x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,99%@2265,85%@2265,86%@2265,86%@2265,86%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@51.95C Tboard@43C GPU 0/0 CPU 11940/11855 SOC 3061/3143 CV 0/0 VDDRQ 612/680 SYS5V 2903/2963
RAM 5720/15825MB (lfb 209x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,89%@2265,94%@2265,85%@2265,86%@2265,85%@2265,84%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48C CPU@54C thermal@52.55C Tboard@43C GPU 0/0 CPU 11787/11854 SOC 3061/3143 CV 0/0 VDDRQ 612/680 SYS5V 2903/2962
RAM 5720/15825MB (lfb 209x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,100%@2265,85%@2265,85%@2265,85%@2265,85%@2265,86%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@51.95C Tboard@43C GPU 0/0 CPU 11787/11854 SOC 3061/3142 CV 0/0 VDDRQ 612/680 SYS5V 2903/2962
RAM 5747/15825MB (lfb 203x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,99%@2265,87%@2265,86%@2265,86%@2265,85%@2265,86%@2265,86%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.55C Tboard@43C GPU 0/0 CPU 11940/11854 SOC 3061/3142 CV 0/0 VDDRQ 612/680 SYS5V 2903/2962
RAM 5671/15825MB (lfb 220x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,89%@2265,86%@2265,86%@2265,97%@2265,85%@2265,86%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@51.95C Tboard@43C GPU 0/0 CPU 14378/11862 SOC 3365/3143 CV 0/0 VDDRQ 764/680 SYS5V 3064/2962
RAM 5672/15825MB (lfb 220x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,84%@2265,84%@2265,84%@2265,100%@2265,84%@2265,84%@2265,84%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49.25C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.85C Tboard@43C GPU 0/0 CPU 13154/11866 SOC 3671/3144 CV 0/0 VDDRQ 1070/681 SYS5V 3185/2963
RAM 5650/15825MB (lfb 224x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,85%@2265,84%@2265,100%@2265,84%@2265,84%@2265,84%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.85C Tboard@44C GPU 0/0 CPU 12547/11868 SOC 3366/3145 CV 0/0 VDDRQ 764/681 SYS5V 3024/2963
RAM 5778/15825MB (lfb 196x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,86%@2265,88%@2265,86%@2265,99%@2265,87%@2265,88%@2265,87%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@51.65C Tboard@44C GPU 0/0 CPU 11481/11866 SOC 3214/3145 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5649/15825MB (lfb 224x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,87%@2265,85%@2265,85%@2265,93%@2265,92%@2265,86%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 11481/11865 SOC 3061/3145 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5649/15825MB (lfb 224x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,87%@2265,87%@2265,98%@2265,87%@2265,88%@2265,87%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11787/11865 SOC 3061/3145 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5782/15825MB (lfb 195x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,89%@2265,88%@2265,99%@2265,88%@2265,87%@2265,88%@2265,88%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48C CPU@53.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11328/11864 SOC 3061/3144 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5649/15825MB (lfb 224x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,85%@2265,86%@2265,99%@2265,86%@2265,86%@2265,86%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@51.65C Tboard@44C GPU 0/0 CPU 11328/11862 SOC 3061/3144 CV 0/0 VDDRQ 612/680 SYS5V 2943/2963
RAM 5666/15825MB (lfb 220x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,86%@2265,100%@2265,87%@2265,87%@2265,87%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11787/11862 SOC 3061/3144 CV 0/0 VDDRQ 612/680 SYS5V 2943/2963
RAM 5739/15825MB (lfb 203x4MB) SWAP 6/7912MB (cached 0MB) CPU [89%@2265,87%@2265,87%@2265,99%@2265,88%@2265,87%@2265,88%@2265,88%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48C CPU@53.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 11175/11860 SOC 3061/3144 CV 0/0 VDDRQ 612/680 SYS5V 2943/2963
RAM 5649/15825MB (lfb 224x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,87%@2265,86%@2265,100%@2265,87%@2265,86%@2265,87%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@51.75C Tboard@44C GPU 0/0 CPU 11634/11859 SOC 3061/3143 CV 0/0 VDDRQ 612/680 SYS5V 2943/2963
RAM 5664/15825MB (lfb 221x4MB) SWAP 6/7912MB (cached 0MB) CPU [93%@2265,84%@2265,84%@2265,90%@2265,83%@2265,84%@2265,84%@2265,83%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.35C Tboard@44C GPU 0/0 CPU 13001/11862 SOC 3518/3144 CV 0/0 VDDRQ 1070/681 SYS5V 3144/2963
RAM 5631/15825MB (lfb 227x4MB) SWAP 6/7912MB (cached 0MB) CPU [97%@2265,85%@2265,85%@2265,87%@2265,85%@2265,85%@2265,84%@2265,84%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 12547/11864 SOC 3213/3145 CV 0/0 VDDRQ 612/681 SYS5V 2983/2963
RAM 5719/15825MB (lfb 209x4MB) SWAP 6/7912MB (cached 0MB) CPU [89%@2265,86%@2265,86%@2265,86%@2265,87%@2265,87%@2265,97%@2265,87%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@55C thermal@52.25C Tboard@44C GPU 0/0 CPU 12394/11866 SOC 3060/3144 CV 0/0 VDDRQ 612/680 SYS5V 2943/2963
RAM 5745/15825MB (lfb 203x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,85%@2265,84%@2265,86%@2265,85%@2265,85%@2265,99%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 11940/11866 SOC 3061/3144 CV 0/0 VDDRQ 612/680 SYS5V 2903/2963
RAM 5742/15825MB (lfb 203x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,85%@2265,85%@2265,85%@2265,86%@2265,99%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 12394/11868 SOC 3060/3144 CV 0/0 VDDRQ 612/680 SYS5V 2903/2963
RAM 5719/15825MB (lfb 209x4MB) SWAP 6/7912MB (cached 0MB) CPU [84%@2265,85%@2265,84%@2265,84%@2265,83%@2265,84%@2265,99%@2265,84%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49.25C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 12400/11869 SOC 3060/3144 CV 0/0 VDDRQ 612/680 SYS5V 2903/2963
RAM 5642/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,85%@2265,85%@2265,85%@2265,84%@2265,100%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 13613/11874 SOC 3518/3145 CV 0/0 VDDRQ 1070/681 SYS5V 3144/2963
RAM 5643/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,85%@2265,85%@2265,86%@2265,85%@2265,99%@2265,85%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55C Tdiode@49.25C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.85C Tboard@44C GPU 0/0 CPU 12700/11876 SOC 3366/3145 CV 0/0 VDDRQ 917/682 SYS5V 3064/2964
RAM 5742/15825MB (lfb 205x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,87%@2265,87%@2265,85%@2265,86%@2265,87%@2265,99%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.55C Tboard@44C GPU 0/0 CPU 11634/11876 SOC 3061/3145 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5641/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,84%@2265,84%@2265,84%@2265,85%@2265,83%@2265,98%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49.25C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11940/11876 SOC 3061/3145 CV 0/0 VDDRQ 612/681 SYS5V 2903/2963
RAM 5641/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,85%@2265,85%@2265,86%@2265,86%@2265,99%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 11634/11875 SOC 3061/3145 CV 0/0 VDDRQ 612/681 SYS5V 2903/2963
RAM 5740/15825MB (lfb 205x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,99%@2265,86%@2265,87%@2265,86%@2265,86%@2265,86%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.55C Tboard@44C GPU 0/0 CPU 11634/11874 SOC 3061/3144 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5642/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [84%@2265,98%@2265,83%@2265,84%@2265,84%@2265,85%@2265,84%@2265,84%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 11940/11875 SOC 3061/3144 CV 0/0 VDDRQ 612/681 SYS5V 2903/2963
RAM 5642/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,100%@2265,86%@2265,87%@2265,85%@2265,87%@2265,86%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11634/11874 SOC 3061/3144 CV 0/0 VDDRQ 612/680 SYS5V 2903/2963
RAM 5741/15825MB (lfb 205x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,99%@2265,87%@2265,87%@2265,86%@2265,87%@2265,87%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.25C Tboard@44C GPU 0/0 CPU 11634/11873 SOC 3061/3144 CV 0/0 VDDRQ 612/680 SYS5V 2943/2963
RAM 5642/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,99%@2265,84%@2265,84%@2265,83%@2265,85%@2265,84%@2265,83%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11940/11873 SOC 3061/3144 CV 0/0 VDDRQ 612/680 SYS5V 2903/2963
RAM 5643/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,99%@2265,86%@2265,85%@2265,85%@2265,87%@2265,86%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@51.95C Tboard@44C GPU 0/0 CPU 11481/11872 SOC 3061/3143 CV 0/0 VDDRQ 612/680 SYS5V 2903/2962
RAM 5740/15825MB (lfb 205x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,87%@2265,86%@2265,85%@2265,98%@2265,87%@2265,85%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@51.95C Tboard@44C GPU 0/0 CPU 11787/11872 SOC 3061/3143 CV 0/0 VDDRQ 612/680 SYS5V 2943/2962
RAM 5642/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,86%@2265,85%@2265,99%@2265,86%@2265,86%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@55C thermal@51.95C Tboard@44C GPU 0/0 CPU 12247/11873 SOC 3060/3143 CV 0/0 VDDRQ 612/680 SYS5V 2903/2962
RAM 5641/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,86%@2265,85%@2265,85%@2265,98%@2265,86%@2265,85%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11634/11873 SOC 3061/3143 CV 0/0 VDDRQ 612/679 SYS5V 2903/2962
RAM 5731/15825MB (lfb 207x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,86%@2265,86%@2265,85%@2265,100%@2265,87%@2265,86%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11940/11873 SOC 3061/3142 CV 0/0 VDDRQ 612/679 SYS5V 2943/2962
RAM 5642/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,86%@2265,86%@2265,99%@2265,87%@2265,86%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48C CPU@55C thermal@51.95C Tboard@44C GPU 0/0 CPU 12093/11873 SOC 3061/3142 CV 0/0 VDDRQ 612/679 SYS5V 2903/2962
RAM 5616/15825MB (lfb 231x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,84%@2265,85%@2265,84%@2265,98%@2265,84%@2265,84%@2265,84%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 13613/11878 SOC 3518/3143 CV 0/0 VDDRQ 1070/680 SYS5V 3144/2962
RAM 5617/15825MB (lfb 231x4MB) SWAP 6/7912MB (cached 0MB) CPU [84%@2265,83%@2265,84%@2265,83%@2265,100%@2265,84%@2265,83%@2265,83%@2265] EMC_FREQ 8%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.85C Tboard@44C GPU 0/0 CPU 13154/11881 SOC 3671/3145 CV 0/0 VDDRQ 1070/681 SYS5V 3185/2963
RAM 5661/15825MB (lfb 223x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,88%@2265,87%@2265,86%@2265,100%@2265,86%@2265,87%@2265,87%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 12093/11882 SOC 3213/3145 CV 0/0 VDDRQ 765/681 SYS5V 2983/2963
RAM 5794/15825MB (lfb 195x4MB) SWAP 6/7912MB (cached 0MB) CPU [89%@2265,88%@2265,89%@2265,88%@2265,100%@2265,88%@2265,88%@2265,88%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48.5C CPU@53.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11328/11880 SOC 3061/3145 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5662/15825MB (lfb 223x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,87%@2265,86%@2265,85%@2265,99%@2265,87%@2265,87%@2265,87%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49.25C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 11481/11879 SOC 3061/3144 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5697/15825MB (lfb 212x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,86%@2265,85%@2265,92%@2265,85%@2265,93%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11787/11879 SOC 3060/3144 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5792/15825MB (lfb 195x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,89%@2265,88%@2265,87%@2265,88%@2265,88%@2265,100%@2265,88%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48.5C CPU@53.5C thermal@51.45C Tboard@44C GPU 0/0 CPU 11175/11877 SOC 3061/3144 CV 0/0 VDDRQ 612/681 SYS5V 2943/2963
RAM 5660/15825MB (lfb 223x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,85%@2265,87%@2265,85%@2265,85%@2265,85%@2265,99%@2265,85%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@51.45C Tboard@44C GPU 0/0 CPU 11328/11876 SOC 3061/3144 CV 0/0 VDDRQ 612/680 SYS5V 2943/2963
